Time,X1,X2
9.8e-007,-5.85572,2.43597
9.9e-007,-6.16852,2.43597
1e-006,-6.48133,2.43597
1.01e-006,-6.79413,2.44379
1.02e-006,-7.02874,2.44379
1.03e-006,-7.26334,2.45161
1.04e-006,-7.41975,2.45161
1.05e-006,-7.65435,2.45161
1.06e-006,-7.73255,2.44379
1.07e-006,-7.81075,2.45161
1.08e-006,-7.88895,2.44379
1.09e-006,-7.96716,2.45161
1.1e-006,-8.04536,2.45161
1.11e-006,-8.04536,2.45161
1.12e-006,-7.96716,2.45161
1.13e-006,-7.88895,2.45943
1.14e-006,-8.04536,2.45161
1.15e-006,-7.96716,2.45161
1.16e-006,-7.88895,2.45161
1.17e-006,-7.73255,2.45943
1.18e-006,-7.57615,2.45161
1.19e-006,-7.41975,2.45943
1.2e-006,-7.26334,2.45943
1.21e-006,-7.02874,2.45943
1.22e-006,-6.87234,2.46725
1.23e-006,-6.63773,2.46725
1.24e-006,-6.24673,2.46725
1.25e-006,-5.93392,2.46725
1.26e-006,-5.54291,2.47507
1.27e-006,-5.23011,2.46725
1.28e-006,-4.8391,2.46725
1.29e-006,-4.6045,2.47507
1.3e-006,-4.13529,2.46725
1.31e-006,-3.58788,2.47507
1.32e-006,-3.11867,2.46725
1.33e-006,-2.72766,2.47507
1.34e-006,-2.25846,2.48289
1.35e-006,-1.71105,2.48289
1.36e-006,-1.24184,2.48289
1.37e-006,-0.694428,2.48289
1.38e-006,-0.22522,2.48289
1.39e-006,0.32219,2.48289
1.4e-006,0.947801,2.48289
1.41e-006,1.49521,2.48289
1.42e-006,2.19902,2.48289
1.43e-006,2.74643,2.48289
1.44e-006,3.37204,2.48289
1.45e-006,4.07586,2.48289
1.46e-006,4.77967,2.48289
1.47e-006,5.32708,2.49071
1.48e-006,6.03089,2.48289
1.49e-006,6.7347,2.48289
1.5e-006,7.43851,2.49071
1.51e-006,7.98592,2.48289
1.52e-006,8.76794,2.48289
1.53e-006,9.39355,2.48289
1.54e-006,10.0974,2.49071
1.55e-006,10.8012,2.49071
1.56e-006,11.4268,2.49071
1.57e-006,12.1306,2.48289
1.58e-006,12.8344,2.49071
1.59e-006,13.5382,2.49071
1.6e-006,14.3202,2.49071
1.61e-006,14.9458,2.49071
1.62e-006,15.5715,2.49853
1.63e-006,16.2753,2.49853
1.64e-006,16.9791,2.49853
1.65e-006,17.6047,2.49853
1.66e-006,18.2303,2.49071
1.67e-006,18.9341,2.49853
1.68e-006,19.5597,2.49853
1.69e-006,20.1071,2.50635
1.7e-006,20.7327,2.49853
1.71e-006,21.3584,2.50635
1.72e-006,21.9058,2.49853
1.73e-006,22.4532,2.51417
1.74e-006,22.9224,2.50635
1.75e-006,23.548,2.51417
1.76e-006,24.0954,2.50635
1.77e-006,24.4864,2.51417
1.78e-006,25.0338,2.51417
1.79e-006,25.503,2.52199
1.8e-006,25.9722,2.51417
1.81e-006,26.3632,2.52199
1.82e-006,26.8325,2.51417
1.83e-006,27.1453,2.52199
1.84e-006,27.3017,2.52199
1.85e-006,27.6145,2.52981
1.86e-006,27.6145,2.52981
1.87e-006,27.6145,2.52981
1.88e-006,27.5363,2.52981
1.89e-006,27.3017,2.53763
1.9e-006,26.9889,2.52981
1.91e-006,26.5978,2.52981
1.92e-006,26.2068,2.53763
1.93e-006,25.7376,2.53763
1.94e-006,25.4248,2.52981
1.95e-006,25.112,2.53763
1.96e-006,24.8774,2.52981
1.97e-006,24.721,2.55327
1.98e-006,24.721,2.55327
1.99e-006,24.721,2.54545
2e-006,24.6428,2.55327
2.01e-006,24.721,2.55327
2.02e-006,24.7992,2.56109
2.03e-006,24.9556,2.56109
2.04e-006,24.9556,2.56891
2.05e-006,24.7992,2.56109
2.06e-006,24.8774,2.56891
2.07e-006,24.7992,2.57674
2.08e-006,24.721,2.57674
2.09e-006,24.6428,2.56891
2.1e-006,24.6428,2.57674
2.11e-006,24.4082,2.57674
2.12e-006,24.33,2.57674
2.13e-006,24.2518,2.57674
2.14e-006,24.1736,2.58456
2.15e-006,23.939,2.59238
2.16e-006,23.7044,2.58456
2.17e-006,23.4698,2.59238
2.18e-006,23.2352,2.59238
2.19e-006,23.0788,2.60802
2.2e-006,22.8442,2.61584
2.21e-006,22.6096,2.62366
2.22e-006,22.2968,2.62366
2.23e-006,22.0622,2.62366
2.24e-006,21.8276,2.61584
2.25e-006,21.5148,2.62366
2.26e-006,21.202,2.63148
2.27e-006,20.8891,2.62366
2.28e-006,20.4981,2.63148
2.29e-006,20.1853,2.6393
2.3e-006,19.8725,2.6393
2.31e-006,19.4815,2.6393
2.32e-006,19.1687,2.6393
2.33e-006,18.7777,2.64712
2.34e-006,18.3867,2.65494
2.35e-006,17.9175,2.64712
2.36e-006,17.6047,2.65494
2.37e-006,17.2137,2.66276
2.38e-006,16.7445,2.66276
2.39e-006,16.4317,2.66276
2.4e-006,15.9625,2.67058
2.41e-006,15.4151,2.67058
2.42e-006,15.1804,2.67058
2.43e-006,14.5548,2.6784
2.44e-006,14.242,2.68622
2.45e-006,13.7728,2.6784
2.46e-006,13.3818,2.69404
2.47e-006,12.9126,2.69404
2.48e-006,12.5216,2.68622
2.49e-006,12.0524,2.70186
2.5e-006,11.5832,2.70186
2.51e-006,11.2704,2.70968
2.52e-006,10.8012,2.7175
2.53e-006,10.332,2.70968
2.54e-006,10.0192,2.7175
2.55e-006,9.62815,2.72532
2.56e-006,9.15894,2.7175
2.57e-006,8.76794,2.73314
2.58e-006,8.37693,2.73314
2.59e-006,8.06413,2.73314
2.6e-006,7.67312,2.73314
2.61e-006,7.36031,2.73314
2.62e-006,6.96931,2.74096
2.63e-006,6.6565,2.74096
2.64e-006,6.26549,2.74878
2.65e-006,5.87449,2.74878
2.66e-006,5.56168,2.74878
2.67e-006,5.32708,2.76442
2.68e-006,4.93607,2.74878
2.69e-006,4.70147,2.76442
2.7e-006,4.46686,2.76442
2.71e-006,4.23226,2.77224
2.72e-006,3.99765,2.77224
2.73e-006,3.60665,2.78006
2.74e-006,3.45024,2.78006
2.75e-006,3.21564,2.7957
2.76e-006,2.98104,2.78006
2.77e-006,2.82463,2.78788
2.78e-006,2.59003,2.7957
2.79e-006,2.51183,2.7957
2.8e-006,2.35543,2.78788
2.81e-006,2.27722,2.7957
2.82e-006,2.04262,2.80352
2.83e-006,1.88622,2.81134
2.84e-006,1.88622,2.81134
2.85e-006,1.80802,2.81916
2.86e-006,1.80802,2.82698
2.87e-006,1.72981,2.82698
2.88e-006,1.72981,2.81916
2.89e-006,1.72981,2.8348
2.9e-006,1.65161,2.8348
2.91e-006,1.72981,2.84262
2.92e-006,1.65161,2.84262
2.93e-006,1.72981,2.85044
2.94e-006,1.72981,2.84262
2.95e-006,1.80802,2.84262
2.96e-006,1.88622,2.85826
2.97e-006,2.04262,2.86608
2.98e-006,2.04262,2.86608
2.99e-006,2.27722,2.8739
3e-006,2.35543,2.8739
3.01e-006,2.51183,2.88172
3.02e-006,2.66823,2.88954
3.03e-006,2.82463,2.88954
3.04e-006,2.98104,2.88954
3.05e-006,3.21564,2.88954
3.06e-006,3.45024,2.89736
3.07e-006,3.60665,2.89736
3.08e-006,3.99765,2.90518
3.09e-006,4.15406,2.90518
3.1e-006,4.46686,2.913
3.11e-006,4.62326,2.92082
3.12e-006,4.85787,2.92082
3.13e-006,5.17067,2.92082
3.14e-006,5.48348,2.913
3.15e-006,5.71808,2.92864
3.16e-006,5.95269,2.92864
3.17e-006,6.4219,2.93646
3.18e-006,6.6565,2.94428
3.19e-006,7.04751,2.94428
3.2e-006,7.43851,2.9521
3.21e-006,7.59492,2.9521
3.22e-006,8.06413,2.95992
3.23e-006,8.29873,2.95992
3.24e-006,8.61153,2.96774
3.25e-006,9.00254,2.95992
3.26e-006,9.31535,2.96774
3.27e-006,9.70635,2.96774
3.28e-006,10.0192,2.97556
3.29e-006,10.332,2.98338
3.3e-006,10.6448,2.98338
3.31e-006,11.0358,2.98338
3.32e-006,11.3486,2.98338
3.33e-006,11.7396,2.98338
3.34e-006,12.0524,2.98338
3.35e-006,12.5216,2.99902
3.36e-006,12.7562,2.99902
3.37e-006,13.069,3.00684
3.38e-006,13.3818,3.00684
3.39e-006,13.7728,3.00684
3.4e-006,14.0856,3.00684
3.41e-006,14.3202,3.01466
3.42e-006,14.633,3.01466
3.43e-006,14.8676,3.0303
3.44e-006,15.1804,3.02248
3.45e-006,15.4151,3.02248
3.46e-006,15.7279,3.02248
3.47e-006,16.0407,3.0303
3.48e-006,16.3535,3.0303
3.49e-006,16.5881,3.0303
3.5e-006,16.8227,3.03812
3.51e-006,17.1355,3.03812
3.52e-006,17.2919,3.03812
3.53e-006,17.5265,3.03812
3.54e-006,17.6047,3.04594
3.55e-006,17.8393,3.05376
3.56e-006,17.9957,3.04594
3.57e-006,18.2303,3.05376
3.58e-006,18.3085,3.05376
3.59e-006,18.5431,3.06158
3.6e-006,18.6213,3.06158
3.61e-006,18.7777,3.0694
3.62e-006,18.9341,3.0694
3.63e-006,19.0123,3.07722
3.64e-006,19.0123,3.07722
3.65e-006,19.0905,3.07722
3.66e-006,19.1687,3.07722
3.67e-006,19.1687,3.08504
3.68e-006,19.1687,3.07722
3.69e-006,19.2469,3.09286
3.7e-006,19.2469,3.08504
3.71e-006,19.1687,3.09286
3.72e-006,19.0905,3.08504
3.73e-006,19.0123,3.09286
3.74e-006,19.0123,3.10068
3.75e-006,18.9341,3.1085
3.76e-006,18.6995,3.1085
3.77e-006,18.6213,3.11632
3.78e-006,18.4649,3.11632
3.79e-006,18.3867,3.10068
3.8e-006,18.2303,3.10068
3.81e-006,18.0739,3.11632
3.82e-006,17.9957,3.11632
3.83e-006,17.7611,3.12414
3.84e-006,17.5265,3.12414
3.85e-006,17.4483,3.13196
3.86e-006,17.2137,3.13196
3.87e-006,16.9009,3.13978
3.88e-006,16.5881,3.13196
3.89e-006,16.4317,3.13196
3.9e-006,16.1189,3.13978
3.91e-006,15.8843,3.13196
3.92e-006,15.4933,3.13196
3.93e-006,15.1804,3.14761
3.94e-006,14.8676,3.13978
3.95e-006,14.5548,3.13978
3.96e-006,14.242,3.14761
3.97e-006,13.851,3.14761
3.98e-006,13.46,3.14761
3.99e-006,13.1472,3.14761
4e-006,12.7562,3.16325
4.01e-006,12.3652,3.15543
4.02e-006,11.9742,3.15543
4.03e-006,11.5832,3.16325
4.04e-006,11.2704,3.15543
4.05e-006,10.8012,3.15543
4.06e-006,10.4884,3.15543
4.07e-006,10.0974,3.16325
4.08e-006,9.62815,3.17107
4.09e-006,9.23715,3.16325
4.1e-006,8.84614,3.16325
4.11e-006,8.45513,3.17107
4.12e-006,7.90772,3.17107
4.13e-006,7.51672,3.17107
4.14e-006,7.12571,3.17107
4.15e-006,6.6565,3.17107
4.16e-006,6.3437,3.17889
4.17e-006,5.95269,3.17107
4.18e-006,5.48348,3.17889
4.19e-006,5.01427,3.17107
4.2e-006,4.77967,3.17889
4.21e-006,4.31046,3.17889
4.22e-006,3.91945,3.17107
4.23e-006,3.45024,3.17889
4.24e-006,2.98104,3.17889
4.25e-006,2.59003,3.17889
4.26e-006,2.19902,3.17889
4.27e-006,1.88622,3.17889
4.28e-006,1.49521,3.18671
4.29e-006,1.1042,3.18671
4.3e-006,0.634995,3.18671
4.31e-006,0.32219,3.17889
4.32e-006,-0.0688172,3.18671
4.33e-006,-0.381623,3.18671
4.34e-006,-0.694428,3.18671
4.35e-006,-1.00723,3.18671
4.36e-006,-1.24184,3.18671
4.37e-006,-1.63284,3.19453
4.38e-006,-1.94565,3.19453
4.39e-006,-2.10205,3.19453
4.4e-006,-2.33666,3.20235
4.41e-006,-2.72766,3.20235
4.42e-006,-2.88407,3.20235
4.43e-006,-3.11867,3.20235
4.44e-006,-3.35327,3.20235
4.45e-006,-3.58788,3.20235
4.46e-006,-3.82248,3.21017
4.47e-006,-4.05709,3.20235
4.48e-006,-4.29169,3.20235
4.49e-006,-4.44809,3.21017
4.5e-006,-4.6045,3.20235
4.51e-006,-4.7609,3.20235
4.52e-006,-4.8391,3.20235
4.53e-006,-4.9955,3.20235
4.54e-006,-5.15191,3.20235
4.55e-006,-5.15191,3.20235
4.56e-006,-5.23011,3.21017
4.57e-006,-5.38651,3.21017
4.58e-006,-5.46471,3.21017
4.59e-006,-5.54291,3.20235
4.6e-006,-5.46471,3.21017
4.61e-006,-5.54291,3.21017
4.62e-006,-5.62111,3.21017
4.63e-006,-5.54291,3.21017
4.64e-006,-5.62111,3.20235
4.65e-006,-5.62111,3.21799
4.66e-006,-5.54291,3.21017
4.67e-006,-5.62111,3.21017
4.68e-006,-5.62111,3.21017
4.69e-006,-5.54291,3.20235
4.7e-006,-5.62111,3.21017
4.71e-006,-5.54291,3.20235
4.72e-006,-5.46471,3.21017
4.73e-006,-5.38651,3.21799
4.74e-006,-5.38651,3.20235
4.75e-006,-5.30831,3.21017
4.76e-006,-5.30831,3.20235
4.77e-006,-5.23011,3.21017
4.78e-006,-5.15191,3.21017
4.79e-006,-5.0737,3.21017
4.8e-006,-5.15191,3.21017
4.81e-006,-4.9955,3.21799
4.82e-006,-4.9955,3.21017
4.83e-006,-4.9955,3.21799
4.84e-006,-4.9173,3.21017
4.85e-006,-4.8391,3.21017
4.86e-006,-4.9173,3.21017
4.87e-006,-4.8391,3.21017
4.88e-006,-4.8391,3.21017
4.89e-006,-4.8391,3.21799
4.9e-006,-4.9173,3.21799
4.91e-006,-4.9955,3.21799
4.92e-006,-4.9955,3.21799
4.93e-006,-4.9955,3.21799
4.94e-006,-4.9955,3.21799
4.95e-006,-5.0737,3.21799
4.96e-006,-5.15191,3.21799
4.97e-006,-5.23011,3.21799
4.98e-006,-5.30831,3.21799
4.99e-006,-5.46471,3.21799
5e-006,-5.54291,3.21799
5.01e-006,-5.69932,3.21017
5.02e-006,-5.77752,3.21799
5.03e-006,-5.85572,3.21799
5.04e-006,-6.01212,3.21017
5.05e-006,-6.16852,3.21017
5.06e-006,-6.40313,3.21799
5.07e-006,-6.48133,3.21799
5.08e-006,-6.71593,3.20235
5.09e-006,-6.87234,3.20235
5.1e-006,-7.18514,3.21017
5.11e-006,-7.41975,3.20235
5.12e-006,-7.73255,3.20235
5.13e-006,-7.96716,3.20235
5.14e-006,-8.20176,3.20235
5.15e-006,-8.43636,3.20235
5.16e-006,-8.67097,3.20235
5.17e-006,-9.06197,3.20235
5.18e-006,-9.37478,3.20235
5.19e-006,-9.60938,3.20235
5.2e-006,-9.92219,3.19453
5.21e-006,-10.1568,3.20235
5.22e-006,-10.4696,3.20235
5.23e-006,-10.8606,3.20235
5.24e-006,-11.1734,3.20235
5.25e-006,-11.6426,3.20235
5.26e-006,-12.0336,3.20235
5.27e-006,-12.2682,3.20235
5.28e-006,-12.6592,3.20235
5.29e-006,-13.0502,3.19453
5.3e-006,-13.4413,3.18671
5.31e-006,-13.9105,3.19453
5.32e-006,-14.2233,3.18671
5.33e-006,-14.6925,3.18671
5.34e-006,-15.0835,3.18671
5.35e-006,-15.3963,3.17889
5.36e-006,-15.8655,3.18671
5.37e-006,-16.1783,3.18671
5.38e-006,-16.6475,3.18671
5.39e-006,-17.0385,3.18671
5.4e-006,-17.5077,3.17889
5.41e-006,-17.8205,3.18671
5.42e-006,-18.1333,3.17889
5.43e-006,-18.6025,3.18671
5.44e-006,-18.9935,3.17889
5.45e-006,-19.3846,3.17889
5.46e-006,-19.7756,3.17889
5.47e-006,-20.1666,3.17889
5.48e-006,-20.4012,3.17107
5.49e-006,-20.7922,3.17107
5.5e-006,-21.105,3.17889
5.51e-006,-21.5742,3.17107
5.52e-006,-21.9652,3.17107
5.53e-006,-22.278,3.17107
5.54e-006,-22.5908,3.17107
5.55e-006,-22.9818,3.17107
5.56e-006,-23.2164,3.17107
5.57e-006,-23.6074,3.16325
5.58e-006,-23.842,3.17107
5.59e-006,-24.1548,3.17107
5.6e-006,-24.5458,3.15543
5.61e-006,-24.7804,3.16325
5.62e-006,-25.0933,3.15543
5.63e-006,-25.4061,3.14761
5.64e-006,-25.5625,3.14761
5.65e-006,-25.8753,3.13978
5.66e-006,-26.1099,3.13978
5.67e-006,-26.3445,3.15543
5.68e-006,-26.6573,3.14761
5.69e-006,-26.8919,3.14761
5.7e-006,-27.0483,3.14761
5.71e-006,-27.2829,3.14761
5.72e-006,-27.5175,3.13978
5.73e-006,-27.7521,3.13978
5.74e-006,-27.9085,3.13978
5.75e-006,-28.1431,3.13978
5.76e-006,-28.3777,3.13978
5.77e-006,-28.4559,3.13196
5.78e-006,-28.6123,3.13978
5.79e-006,-28.9251,3.13196
5.8e-006,-29.0033,3.12414
5.81e-006,-29.0815,3.12414
5.82e-006,-29.2379,3.13196
5.83e-006,-29.3161,3.12414
5.84e-006,-29.4725,3.12414
5.85e-006,-29.5507,3.12414
5.86e-006,-29.6289,3.12414
5.87e-006,-29.8635,3.12414
5.88e-006,-29.8635,3.11632
5.89e-006,-29.9417,3.1085
5.9e-006,-30.0199,3.11632
5.91e-006,-30.1763,3.11632
5.92e-006,-30.1763,3.10068
5.93e-006,-30.2545,3.09286
5.94e-006,-30.4109,3.08504
5.95e-006,-30.4109,3.09286
5.96e-006,-30.5674,3.09286
5.97e-006,-30.5674,3.08504
5.98e-006,-30.6456,3.08504
5.99e-006,-30.6456,3.07722
6e-006,-30.7238,3.08504
6.01e-006,-30.8802,3.07722
6.02e-006,-30.8802,3.07722
6.03e-006,-30.9584,3.0694
6.04e-006,-30.9584,3.06158
6.05e-006,-31.1148,3.06158
6.06e-006,-31.1148,3.0694
6.07e-006,-31.2712,3.06158
6.08e-006,-31.3494,3.06158
6.09e-006,-31.5058,3.05376
6.1e-006,-31.5058,3.05376
6.11e-006,-31.5058,3.04594
6.12e-006,-31.6622,3.04594
6.13e-006,-31.6622,3.0303
6.14e-006,-31.7404,3.03812
6.15e-006,-31.8968,3.0303
6.16e-006,-31.8186,3.02248
6.17e-006,-31.8968,3.01466
6.18e-006,-32.0532,3.02248
6.19e-006,-32.0532,3.01466
6.2e-006,-32.1314,3.01466
6.21e-006,-32.1314,3.01466
6.22e-006,-32.2878,3.01466
6.23e-006,-32.366,2.99902
6.24e-006,-32.366,2.99902
6.25e-006,-32.4442,2.9912
6.26e-006,-32.5224,2.9912
6.27e-006,-32.6006,2.98338
6.28e-006,-32.6006,2.98338
6.29e-006,-32.6788,2.96774
6.3e-006,-32.757,2.97556
6.31e-006,-32.757,2.96774
6.32e-006,-32.9134,2.96774
6.33e-006,-32.9134,2.95992
6.34e-006,-32.9134,2.9521
6.35e-006,-33.0698,2.9521
6.36e-006,-33.148,2.93646
6.37e-006,-33.3044,2.92864
6.38e-006,-33.2262,2.92864
6.39e-006,-33.4608,2.92082
6.4e-006,-33.3826,2.913
6.41e-006,-33.3826,2.90518
6.42e-006,-33.3826,2.89736
6.43e-006,-33.4608,2.88954
6.44e-006,-33.4608,2.88172
6.45e-006,-33.4608,2.86608
6.46e-006,-33.4608,2.86608
6.47e-006,-33.539,2.85826
6.48e-006,-33.4608,2.85044
6.49e-006,-33.3826,2.84262
6.5e-006,-33.3044,2.8348
6.51e-006,-33.3044,2.82698
6.52e-006,-33.2262,2.82698
6.53e-006,-33.2262,2.82698
6.54e-006,-33.148,2.81134
6.55e-006,-33.2262,2.80352
6.56e-006,-33.148,2.7957
6.57e-006,-33.2262,2.7957
6.58e-006,-33.148,2.7957
6.59e-006,-33.2262,2.78006
6.6e-006,-33.3044,2.78006
6.61e-006,-33.2262,2.76442
6.62e-006,-33.2262,2.74878
6.63e-006,-33.3044,2.74096
6.64e-006,-33.2262,2.72532
6.65e-006,-33.2262,2.70968
6.66e-006,-33.2262,2.70186
6.67e-006,-33.2262,2.69404
6.68e-006,-33.2262,2.68622
6.69e-006,-33.3044,2.6784
6.7e-006,-33.2262,2.67058
6.71e-006,-33.2262,2.66276
6.72e-006,-33.2262,2.65494
6.73e-006,-33.3044,2.64712
6.74e-006,-33.148,2.63148
6.75e-006,-33.148,2.62366
6.76e-006,-33.2262,2.60802
6.77e-006,-33.148,2.58456
6.78e-006,-33.148,2.57674
6.79e-006,-33.0698,2.56891
6.8e-006,-33.0698,2.56109
6.81e-006,-33.148,2.54545
6.82e-006,-33.0698,2.52981
6.83e-006,-33.0698,2.52981
6.84e-006,-33.0698,2.52199
6.85e-006,-33.0698,2.49853
6.86e-006,-33.0698,2.49853
6.87e-006,-33.0698,2.48289
6.88e-006,-33.0698,2.46725
6.89e-006,-33.148,2.45943
6.9e-006,-33.0698,2.45161
6.91e-006,-33.148,2.43597
6.92e-006,-33.148,2.42033
6.93e-006,-33.148,2.40469
6.94e-006,-33.148,2.39687
6.95e-006,-33.0698,2.38905
6.96e-006,-33.0698,2.37341
6.97e-006,-33.148,2.36559
6.98e-006,-32.9916,2.35777
6.99e-006,-33.0698,2.34213
7e-006,-33.0698,2.33431
7.01e-006,-33.0698,2.31867
7.02e-006,-33.0698,2.30303
7.03e-006,-32.9916,2.28739
7.04e-006,-32.9916,2.27957
7.05e-006,-33.0698,2.26393
7.06e-006,-33.0698,2.24829
7.07e-006,-32.9916,2.24047
7.08e-006,-33.0698,2.21701
7.09e-006,-32.9916,2.20919
7.1e-006,-33.0698,2.20137
7.11e-006,-33.0698,2.19355
7.12e-006,-33.0698,2.17791
7.13e-006,-32.9916,2.17009
7.14e-006,-33.0698,2.14663
7.15e-006,-33.0698,2.13881
7.16e-006,-32.9916,2.12317
7.17e-006,-33.0698,2.10753
7.18e-006,-33.0698,2.09189
7.19e-006,-32.9916,2.08407
7.2e-006,-32.9916,2.05279
7.21e-006,-32.9134,2.04497
7.22e-006,-32.9916,2.02933
7.23e-006,-32.9134,2.02151
7.24e-006,-33.0698,2.01369
7.25e-006,-32.9916,1.99804
7.26e-006,-32.9916,1.9824
7.27e-006,-32.9134,1.9824
7.28e-006,-33.0698,1.95894
7.29e-006,-32.9134,1.95112
7.3e-006,-33.0698,1.93548
7.31e-006,-32.9916,1.91984
7.32e-006,-33.0698,1.91202
7.33e-006,-32.9916,1.89638
7.34e-006,-32.9916,1.88856
7.35e-006,-33.0698,1.87292
7.36e-006,-33.0698,1.84946
7.37e-006,-33.0698,1.84946
7.38e-006,-32.9916,1.83382
7.39e-006,-33.148,1.81818
7.4e-006,-32.9134,1.80254
7.41e-006,-32.9916,1.79472
7.42e-006,-32.9916,1.7869
7.43e-006,-32.9916,1.77126
7.44e-006,-33.0698,1.76344
7.45e-006,-33.0698,1.7478
7.46e-006,-32.9916,1.73216
7.47e-006,-32.9916,1.72434
7.48e-006,-33.0698,1.70088
7.49e-006,-32.9916,1.70088
7.5e-006,-33.0698,1.69306
7.51e-006,-32.9916,1.67742
7.52e-006,-33.0698,1.6696
7.53e-006,-33.0698,1.6696
7.54e-006,-32.9916,1.65396
7.55e-006,-33.0698,1.63832
7.56e-006,-33.0698,1.62268
7.57e-006,-33.0698,1.61486
7.58e-006,-33.148,1.60704
7.59e-006,-33.0698,1.5914
7.6e-006,-33.0698,1.58358
7.61e-006,-32.9916,1.56794
7.62e-006,-32.9916,1.56012
7.63e-006,-33.0698,1.54448
7.64e-006,-33.0698,1.54448
7.65e-006,-33.0698,1.54448
7.66e-006,-33.148,1.52102
7.67e-006,-33.148,1.5132
7.68e-006,-32.9916,1.49756
7.69e-006,-32.9916,1.48974
7.7e-006,-32.9916,1.48192
7.71e-006,-33.0698,1.4741
7.72e-006,-33.0698,1.45846
7.73e-006,-33.0698,1.45064
7.74e-006,-33.148,1.44282
7.75e-006,-33.148,1.435
7.76e-006,-33.148,1.41935
7.77e-006,-33.148,1.41935
7.78e-006,-33.0698,1.40371
7.79e-006,-33.148,1.40371
7.8e-006,-33.148,1.38807
7.81e-006,-33.2262,1.38025
7.82e-006,-33.148,1.37243
7.83e-006,-33.148,1.36461
7.84e-006,-33.148,1.35679
7.85e-006,-33.148,1.34115
7.86e-006,-33.148,1.33333
7.87e-006,-33.148,1.32551
7.88e-006,-33.148,1.31769
7.89e-006,-33.148,1.31769
7.9e-006,-33.0698,1.30205
7.91e-006,-33.148,1.29423
7.92e-006,-33.148,1.29423
7.93e-006,-33.148,1.27859
7.94e-006,-33.148,1.27077
7.95e-006,-33.148,1.26295
7.96e-006,-33.0698,1.24731
7.97e-006,-33.148,1.23949
7.98e-006,-33.148,1.23949
7.99e-006,-33.148,1.23167
8e-006,-33.148,1.22385
8.01e-006,-33.148,1.21603
8.02e-006,-33.148,1.20821
8.03e-006,-33.2262,1.20039
8.04e-006,-33.2262,1.19257
